fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8.5;0.6;0.35;2.3;0.173;7.9;35.9;0.99;3.24;0.76;10.1;5
5.7;0.46;0.28;1.5;0.068;7.3;25.6;0.99;3.23;0.58;11.2;7
9.4;0.38;0.49;4.4;0.094;25.8;75.0;0.99;3.33;0.77;10.9;6
8.5;0.41;0.24;1.3;0.012;15.0;64.6;0.99;3.23;0.84;11.2;6
9.2;0.48;0.26;1.3;0.084;18.9;59.5;0.99;3.36;0.81;10.4;5
6.4;0.51;0.38;4.1;0.098;12.7;39.9;0.99;3.48;0.7;11.0;5
8.7;0.6;0.31;1.6;0.083;25.3;111.7;0.9918;3.41;0.54;10.5;5
10.5;0.44;0.09;1.9;0.061;9.5;26.2;0.99;3.44;0.81;12.4;7
6.8;0.52;0.28;2.6;0.043;14.5;58.2;0.99;3.47;0.61;12.2;6
6.8;0.62;0.37;2.5;0.14;24.1;90.0;0.99;3.35;0.67;11.5;6
9.5;0.69;0.09;4.1;0.088;28.1;102.3;0.99;3.29;0.64;11.0;4
6.7;0.4;0.39;3.4;0.159;10.4;39.2;0.99;3.19;0.67;13.5;7
7.9;0.36;0.32;3.6;0.062;36.4;131.2;0.99;3.25;0.59;10.5;6
10.8;0.48;0.37;4.1;0.067;19.1;69.6;0.99;3.23;0.7;10.0;5
6.8;0.52;0.18;1.9;0.125;5.0;17.0;0.99;3.42;0.84;11.6;5
10.9;0.63;0.35;2.0;0.012;19.7;84.1;0.99;3.36;0.77;12.6;5
7.7;0.55;0.27;2.4;0.03;11.9;28.5;0.99;3.41;0.72;10.8;5
6.4;0.41;0.46;1.9;0.139;20.4;81.6;0.99;3.14;0.8;12.8;6
9.3;0.48;0.53;11.5;0.032;15.4;62.1;0.99;3.52;0.71;11.1;5
8.5;0.54;0.4;5.2;0.012;16.6;65.1;0.99;3.25;0.69;10.5;5
8.3;0.57;0.33;1.4;0.175;6.3;33.2;0.99;3.14;0.79;10.6;6
7.0;0.71;0.48;1.0;0.021;26.2;90.8;0.99;3.24;0.51;11.5;5
8.5;0.53;0.31;1.1;0.096;3.8;6.0;0.99;3.68;0.67;10.3;5
4.8;0.55;0.16;1.7;0.09;4.3;14.3;0.99;3.25;0.64;11.1;5
8.7;0.43;0.25;1.3;0.012;19.7;59.0;0.99;3.26;0.66;12.3;5
10.5;0.67;0.36;2.9;0.074;32.6;106.8;0.99;3.28;0.65;11.2;6
5.3;0.41;0.33;5.9;0.108;12.2;30.3;0.99;3.29;0.7;12.1;5
7.6;0.6;0.17;4.3;0.104;23.2;76.4;0.99;3.19;0.62;10.4;6
6.8;0.44;0.17;1.6;0.129;27.1;88.9;0.99;3.33;0.65;11.0;6
5.7;0.49;0.22;2.3;0.069;24.4;61.6;0.99;3.47;0.58;9.9;5
4.8;0.37;0.33;2.8;0.12;12.6;51.1;0.99;3.36;0.79;11.5;6
6.3;0.79;0.32;5.2;0.055;4.5;38.0;0.99;3.14;0.65;11.6;5
7.9;0.57;0.26;5.6;0.021;1.0;9.6;0.99;3.26;0.6;11.1;5
10.3;0.41;0.23;7.0;0.026;13.1;43.8;0.99;3.23;0.71;12.8;7
5.7;0.5;0.48;2.8;0.018;28.2;98.2;0.99;3.32;0.75;11.2;7
8.8;0.41;0.17;4.0;0.134;4.1;10.1;0.99;3.51;0.86;11.6;6
8.7;0.55;0.38;1.3;0.016;23.2;82.1;0.99;3.29;0.53;10.6;5
11.1;0.56;0.32;3.1;0.1;5.9;20.3;0.99;3.3;0.72;11.3;5
9.3;0.43;0.41;1.7;0.075;17.0;51.1;0.99;3.58;0.75;11.8;6
9.4;0.67;0.21;2.4;0.082;23.3;98.4;0.99;3.44;0.56;11.5;5
9.5;0.53;0.24;3.5;0.151;9.0;16.6;0.99;3.4;0.8;10.1;5
6.7;0.32;0.29;1.7;0.066;17.7;69.1;0.99;3.6;0.75;10.7;6
7.3;0.59;0.17;1.1;0.116;11.5;39.2;0.99;3.38;0.55;10.0;4
10.2;0.43;0.33;1.0;0.089;23.2;100.2;0.99;3.01;0.56;11.6;7
4.8;0.46;0.41;1.1;0.08;18.3;67.5;0.99;3.43;0.67;11.1;5
7.1;0.4;0.15;1.0;0.195;16.5;54.2;0.99;3.07;0.7;12.0;6
6.0;0.5;0.18;1.3;0.019;32.2;110.2;0.99;3.38;0.55;10.3;5
8.7;0.6;0.2;1.7;0.148;22.8;80.2;0.99;3.05;0.6;10.1;6
7.6;0.43;0.27;1.6;0.118;8.6;18.7;0.99;3.24;0.79;13.1;6
9.4;0.69;0.24;11.8;0.064;15.0;44.8;0.99;3.26;0.45;10.1;5
8.1;0.35;0.39;1.9;0.164;15.1;35.0;0.99;3.19;0.78;12.5;7
5.7;0.51;0.28;1.3;0.012;16.7;49.2;0.99;3.26;0.68;11.4;6
5.8;0.37;0.34;3.0;0.062;42.3;149.0;0.99;3.46;0.8;12.0;7
8.3;0.49;0.35;5.9;0.03;19.7;72.0;0.99;3.2;0.72;11.8;7
7.0;0.37;0.3;3.8;0.106;1.0;6.0;0.99;3.39;0.73;11.1;6
7.4;0.48;0.38;1.9;0.035;10.2;34.3;0.99;3.17;0.68;12.2;7
9.9;0.56;0.24;3.1;0.107;1.0;9.1;0.99;3.28;0.65;10.6;5
9.6;0.49;0.41;4.1;0.078;12.4;41.8;0.99;3.36;0.7;11.9;5
11.4;0.53;0.5;4.3;0.064;1.0;6.0;0.99;3.16;0.67;11.5;5
7.8;0.7;0.32;3.7;0.105;6.8;19.7;0.99;3.11;0.69;11.5;5
7.2;0.56;0.27;6.1;0.074;1.0;6.0;0.99;3.38;0.56;10.6;5
9.0;0.48;0.31;6.1;0.036;19.9;63.3;0.99;3.48;0.59;10.8;5
7.3;0.36;0.17;3.2;0.219;15.9;57.4;0.99;3.3;0.64;10.4;6
7.4;0.6;0.27;2.4;0.064;19.0;89.6;0.99;3.24;0.62;10.7;5
8.0;0.57;0.18;3.6;0.012;14.8;44.4;0.99;3.33;0.79;10.2;5
11.1;0.55;0.33;5.3;0.047;1.3;6.0;0.99;3.32;0.66;12.5;6
9.5;0.4;0.18;1.0;0.027;21.2;73.7;0.99;3.35;0.54;11.0;5
9.7;0.36;0.25;13.1;0.126;36.0;119.1;0.99;2.93;0.75;11.5;6
11.0;0.66;0.06;1.5;0.102;20.2;81.7;0.99;3.15;0.78;10.8;5
9.8;0.44;0.19;2.6;0.106;11.4;16.2;0.99;3.18;0.62;12.0;7
6.4;0.53;0.32;6.1;0.07;1.0;6.0;0.99;3.33;0.9;13.4;6
9.8;0.45;0.16;1.6;0.074;6.4;30.6;0.99;3.34;0.69;10.8;5
10.0;0.59;0.3;2.6;0.07;20.6;69.2;0.99;3.41;0.65;9.7;3
9.4;0.58;0.18;1.4;0.083;27.1;86.6;0.99;3.35;0.85;11.8;6
8.0;0.58;0.33;2.3;0.126;18.6;69.5;0.99;3.11;0.8;9.4;6
9.2;0.37;0.2;1.5;0.103;24.2;93.8;0.99;3.53;0.69;11.5;6
8.3;0.35;0.32;2.1;0.111;23.3;83.7;0.99;3.5;0.82;11.1;6
6.6;0.54;0.1;2.2;0.11;21.2;66.2;0.99;3.12;0.68;10.2;5
7.1;0.47;0.2;13.5;0.129;9.0;36.1;0.99;3.36;0.76;11.4;5
9.5;0.47;0.17;14.2;0.101;17.7;57.9;0.99;3.22;0.77;11.0;5
6.8;0.35;0.37;1.3;0.104;7.0;32.0;0.9903;3.33;0.59;10.0;6
6.9;0.43;0.33;4.2;0.143;16.1;71.2;0.99;3.47;0.78;10.9;6
9.6;0.43;0.13;1.1;0.056;19.3;41.5;0.99;3.63;0.63;8.7;5
8.5;0.44;0.23;1.1;0.047;33.4;118.0;0.99;3.42;0.66;11.2;5
9.3;0.58;0.17;1.3;0.031;2.2;6.0;0.99;3.35;0.66;11.2;5
6.2;0.54;0.35;9.4;0.096;20.9;97.6;0.99;3.26;0.66;10.4;5
9.2;0.53;0.41;8.1;0.012;31.4;105.2;0.99;3.34;0.85;11.8;6
7.2;0.32;0.14;1.5;0.109;23.8;90.8;0.9903;3.51;0.56;10.4;6
6.6;0.41;0.39;1.4;0.082;24.6;85.7;0.99;3.3;0.58;11.0;7
7.4;0.69;0.2;1.7;0.14;22.0;69.0;0.99;3.18;0.51;11.7;6
10.6;0.51;0.22;2.8;0.055;29.5;94.0;0.99;3.07;0.76;10.4;5
7.7;0.56;0.28;3.1;0.077;4.5;31.6;0.99;3.39;0.62;11.3;6
12.0;0.56;0.46;1.6;0.14;1.4;14.5;0.99;3.35;0.71;10.9;6
4.8;0.57;0.18;4.5;0.152;15.8;74.7;0.99;3.21;0.69;11.1;6
5.7;0.5;0.36;1.9;0.055;1.0;6.0;0.99;3.46;0.61;11.1;6
10.6;0.54;0.16;7.4;0.096;28.7;103.3;0.99;3.25;0.79;10.8;6
11.0;0.55;0.16;3.7;0.101;28.6;97.4;0.99;3.29;0.69;11.6;6
6.8;0.61;0.25;2.4;0.105;11.3;36.7;0.99;3.31;0.63;10.5;5
8.4;0.51;0.22;4.9;0.075;12.0;31.6;0.99;3.26;0.62;10.6;4
9.5;0.38;0.0;5.3;0.147;15.1;53.7;0.99;3.35;0.72;10.4;5
7.9;0.46;0.34;1.9;0.012;16.4;49.5;0.99;3.48;0.5;9.4;4
8.6;0.45;0.07;2.0;0.067;17.2;64.6;0.99;3.14;0.79;12.1;6
8.3;0.61;0.24;7.9;0.108;21.7;77.7;0.99;3.38;0.79;11.4;5
5.8;0.37;0.41;1.5;0.108;14.1;52.2;0.99;3.34;0.56;13.2;6
7.7;0.5;0.53;1.1;0.151;25.7;106.7;0.99;3.33;0.78;11.0;7
8.3;0.5;0.21;2.5;0.143;20.5;71.4;0.99;3.44;0.62;10.8;5
8.5;0.5;0.11;5.0;0.074;9.5;40.8;0.99;3.32;0.72;10.9;5
5.4;0.4;0.41;4.7;0.148;29.8;124.8;0.99;3.38;0.58;12.2;6
9.6;0.36;0.34;7.3;0.053;1.7;19.0;0.99;3.42;0.81;10.6;5
8.5;0.57;0.2;2.9;0.131;14.9;63.7;0.99;3.23;0.49;10.1;5
6.5;0.72;0.19;1.3;0.172;26.0;87.9;0.99;3.35;0.63;12.0;5
11.4;0.54;0.18;3.2;0.144;8.3;31.3;0.99;3.27;0.69;10.7;5
7.7;0.22;0.28;4.8;0.092;19.1;53.7;0.99;3.29;0.68;12.5;7
7.8;0.56;0.31;1.2;0.071;21.6;80.6;0.99;3.26;0.62;12.0;6
9.4;0.32;0.22;1.5;0.015;6.9;26.9;0.99;3.38;0.72;11.4;6
11.5;0.29;0.27;1.0;0.102;15.1;53.1;0.99;3.32;0.76;11.7;7
9.5;0.46;0.34;3.3;0.035;14.2;60.0;0.99;3.37;0.7;11.1;6
9.7;0.56;0.1;6.4;0.05;10.1;23.3;0.99;3.31;0.74;11.0;5
6.6;0.31;0.27;3.8;0.031;39.9;156.0;0.99;3.07;0.71;12.5;7
8.4;0.45;0.11;11.0;0.065;7.9;36.7;0.99;3.31;0.73;10.8;6
7.4;0.55;0.29;1.2;0.086;26.4;91.7;0.99;3.32;0.65;11.5;6
9.5;0.5;0.12;6.8;0.1;11.8;39.8;0.99;3.35;0.67;10.9;7
9.7;0.68;0.34;5.2;0.059;4.5;20.6;0.99;3.22;0.62;10.2;5
11.1;0.74;0.12;1.9;0.137;16.9;74.4;0.99;3.13;0.6;11.0;5
4.6;0.63;0.07;10.1;0.077;22.7;80.5;0.99;3.4;0.61;9.4;5
7.2;0.53;0.21;1.8;0.05;25.5;90.7;0.99;3.27;0.77;12.6;5
10.5;0.57;0.45;6.5;0.098;32.2;112.9;0.99;3.34;0.67;10.4;6
5.9;0.53;0.35;6.3;0.179;46.7;181.3;0.99;3.27;0.63;11.4;6
9.7;0.67;0.03;4.5;0.103;18.5;61.1;0.99;3.31;0.6;11.5;4
10.2;0.5;0.15;3.1;0.07;8.9;30.9;0.99;3.24;0.71;10.7;6
8.3;0.46;0.21;1.3;0.015;20.6;86.7;0.99;3.16;0.53;9.2;5
5.9;0.45;0.47;2.9;0.077;13.1;47.3;0.99;3.38;0.62;10.6;5
8.1;0.54;0.16;2.1;0.098;25.6;101.0;0.99;3.22;0.62;10.3;5
10.8;0.56;0.16;4.9;0.069;2.3;6.0;0.99;3.33;0.63;9.2;5
10.9;0.34;0.46;4.5;0.012;40.6;140.0;0.99;3.37;0.82;12.0;7
8.7;0.59;0.27;7.0;0.047;24.8;101.6;0.99;3.22;0.66;11.2;5
6.6;0.69;0.39;1.0;0.155;1.0;6.0;0.99;3.13;0.82;12.3;6
11.3;0.31;0.21;5.1;0.154;8.5;28.2;0.99;3.67;0.7;10.5;6
9.7;0.61;0.24;8.0;0.045;24.4;88.0;0.99;3.23;0.83;9.7;5
6.8;0.4;0.44;4.9;0.119;28.2;88.8;0.99;3.4;0.7;11.5;7
8.9;0.46;0.3;1.3;0.032;2.6;6.0;0.99;3.6;0.67;11.7;7
8.8;0.51;0.36;1.2;0.153;23.3;82.7;0.99;3.43;0.7;11.7;5
7.2;0.47;0.32;1.1;0.099;1.0;6.0;0.99;3.26;0.84;12.5;6
8.9;0.56;0.15;3.5;0.132;14.9;65.0;0.99;3.3;0.51;12.0;5
10.2;0.52;0.25;3.5;0.012;27.5;111.7;0.99;3.19;0.63;11.2;5
7.8;0.47;0.32;11.8;0.119;10.1;26.8;0.99;3.44;0.54;11.2;4
10.4;0.46;0.35;2.3;0.087;1.0;6.0;0.99;3.39;0.71;10.9;6
5.3;0.34;0.28;2.0;0.127;17.4;67.6;0.99;3.23;0.7;11.5;6
12.1;0.62;0.06;3.4;0.13;9.5;48.4;0.99;3.15;0.78;10.0;5
8.4;0.36;0.07;5.4;0.09;22.5;85.9;0.99;3.11;0.64;11.1;5
10.1;0.51;0.15;7.9;0.059;6.6;26.0;0.99;3.46;0.89;11.9;7
8.7;0.59;0.2;5.1;0.124;7.8;34.0;0.99;3.33;0.62;12.4;5
6.9;0.59;0.21;2.4;0.084;1.0;10.2;0.99;3.34;0.74;10.8;5
8.2;0.26;0.13;3.5;0.046;17.6;52.3;0.99;3.19;0.72;11.5;6
5.1;0.38;0.41;5.9;0.044;14.2;51.6;0.99;3.09;0.92;12.0;7
9.5;0.67;0.12;2.7;0.018;3.4;26.5;0.99;3.45;0.5;10.6;5
8.6;0.43;0.14;1.6;0.063;17.9;60.6;0.99;3.32;0.58;10.8;6
8.0;0.37;0.29;1.5;0.139;26.6;94.4;0.99;3.45;0.88;12.4;6
9.6;0.49;0.35;1.0;0.095;13.6;45.2;0.99;3.25;0.58;10.2;5
8.4;0.47;0.49;4.2;0.062;18.7;42.3;0.99;3.27;0.63;10.3;6
9.3;0.46;0.31;1.3;0.125;18.7;65.7;0.99;3.42;0.56;11.5;5
9.9;0.6;0.44;1.7;0.048;3.3;14.6;0.99;3.42;0.81;12.3;6
7.4;0.47;0.16;1.9;0.091;37.4;125.8;0.99;3.43;0.57;11.0;6
6.9;0.42;0.5;3.1;0.079;10.9;26.6;0.99;3.27;0.7;11.1;6
5.4;0.42;0.06;2.3;0.124;22.7;70.6;0.99;3.4;0.62;11.2;5
8.5;0.53;0.23;3.8;0.013;23.9;91.3;0.99;3.48;0.8;10.8;6
9.1;0.6;0.31;1.1;0.047;14.4;70.1;0.99;3.29;0.59;10.4;5
6.0;0.47;0.09;1.3;0.012;22.2;91.5;0.99;3.23;0.69;11.7;5
10.7;0.33;0.16;2.7;0.075;18.4;51.0;0.99;3.51;0.53;11.5;5
6.9;0.52;0.17;2.0;0.144;1.0;12.0;0.99;3.21;0.93;12.4;6
4.7;0.46;0.25;1.9;0.063;12.4;36.8;0.99;3.4;0.68;10.4;6
10.8;0.65;0.36;1.2;0.063;9.5;27.4;0.9925;3.3;0.6;10.2;4
4.9;0.68;0.28;6.7;0.128;11.0;33.9;0.99;3.03;0.87;11.6;6
9.9;0.55;0.2;3.9;0.137;2.2;14.8;0.99;3.48;0.59;10.3;5
9.5;0.43;0.0;1.3;0.083;27.7;106.5;0.99;2.9;0.87;11.9;6
8.8;0.44;0.3;1.2;0.119;32.6;113.1;0.99;3.01;0.61;12.0;5
7.4;0.45;0.36;10.2;0.036;26.1;90.5;0.99;3.39;0.77;10.9;6
9.2;0.57;0.08;3.9;0.152;29.2;106.8;0.99;3.39;0.59;11.0;5
10.1;0.42;0.3;2.4;0.188;12.3;48.7;0.99;3.21;0.61;13.0;7
6.6;0.72;0.27;4.0;0.111;9.2;44.0;0.99;3.33;0.69;12.4;5
10.0;0.6;0.35;4.5;0.012;7.7;14.1;0.99;2.93;0.71;11.6;5
9.9;0.54;0.18;4.8;0.061;22.6;79.3;0.99;3.42;0.52;11.5;5
8.8;0.34;0.22;2.6;0.116;18.2;53.0;0.99;3.35;0.72;11.1;7
7.4;0.44;0.26;2.4;0.067;15.1;52.3;0.99;3.3;0.87;12.1;7
9.9;0.46;0.38;1.0;0.147;29.4;100.6;0.99;3.31;0.71;11.4;5
9.2;0.5;0.38;7.5;0.115;20.1;69.9;0.99;3.38;0.66;11.2;6
6.6;0.53;0.28;3.3;0.054;7.1;16.9;0.99;3.31;0.64;10.9;6
7.7;0.46;0.38;1.6;0.089;8.7;15.6;0.99;3.03;0.89;10.4;6
9.7;0.42;0.04;7.3;0.045;23.0;59.6;0.99;3.64;0.56;10.0;6
8.5;0.33;0.33;7.2;0.078;26.8;92.5;0.99;3.49;0.64;9.4;5
10.1;0.66;0.14;12.3;0.061;21.6;71.3;0.99;3.12;0.5;11.5;5
7.7;0.45;0.49;6.2;0.142;35.7;118.2;0.99;3.26;0.88;11.9;7
6.6;0.45;0.2;15.5;0.186;33.0;128.7;0.99;3.27;0.75;11.4;7
12.0;0.32;0.19;1.7;0.02;20.5;63.2;0.99;3.47;0.72;11.1;6
5.4;0.69;0.31;5.6;0.012;7.1;39.0;0.99;2.99;0.93;11.2;5
7.5;0.5;0.32;5.3;0.075;2.2;23.9;0.99;3.24;0.59;10.9;5
8.8;0.45;0.24;1.7;0.016;11.8;21.8;0.99;3.05;0.87;10.3;6
10.0;0.3;0.35;1.3;0.089;23.7;83.9;0.99;3.27;0.71;12.5;7
9.4;0.23;0.36;10.7;0.122;35.0;118.5;0.99;3.24;0.73;12.0;7
12.2;0.6;0.32;1.9;0.157;20.2;41.6;0.99;3.32;0.96;11.6;6
8.1;0.61;0.24;6.1;0.096;28.1;83.9;0.99;3.22;0.68;12.1;6
6.8;0.53;0.3;1.0;0.078;13.3;54.3;0.99;3.2;0.51;10.3;5
7.9;0.48;0.39;1.1;0.012;22.4;98.6;0.99;3.4;0.68;12.0;5
7.8;0.37;0.19;2.6;0.088;24.5;94.8;0.99;3.38;0.73;11.7;7
8.2;0.45;0.2;1.7;0.09;1.0;6.7;0.99;3.39;0.74;12.1;6
6.6;0.5;0.22;3.9;0.117;11.5;40.0;0.99;3.28;0.59;11.2;4
9.6;0.52;0.14;3.1;0.054;25.8;107.1;0.99;3.22;0.87;10.2;5
8.9;0.5;0.1;1.2;0.067;18.7;86.9;0.99;3.29;0.76;11.8;6
6.2;0.79;0.3;1.4;0.018;3.4;6.0;0.99;3.39;0.44;10.5;3
9.9;0.55;0.03;2.2;0.012;1.0;6.0;0.99;2.98;0.66;11.0;5
6.9;0.32;0.24;1.5;0.035;12.0;21.0;0.99;3.37;0.62;11.3;6
6.3;0.52;0.36;4.9;0.013;15.1;66.1;0.99;3.36;0.68;11.3;6
8.4;0.45;0.31;2.3;0.103;6.6;22.6;0.99;3.32;0.61;12.1;6
5.3;0.69;0.21;1.2;0.063;17.4;62.7;0.99;3.29;0.86;11.5;5
9.3;0.62;0.17;2.7;0.062;21.2;56.3;0.99;2.93;0.63;11.4;6
4.6;0.7;0.28;1.2;0.041;22.9;72.6;0.99;3.24;0.72;9.8;5
6.6;0.49;0.15;1.3;0.012;1.0;6.0;0.99;3.58;0.62;11.4;5
11.0;0.68;0.31;1.7;0.158;2.1;9.4;0.99;3.31;0.58;12.0;6
7.1;0.52;0.29;5.9;0.04;12.7;40.5;0.99;3.26;0.72;13.2;6
7.4;0.64;0.3;7.5;0.068;21.9;66.3;0.99;3.31;0.74;12.3;6
10.5;0.43;0.22;5.4;0.019;21.0;65.7;0.99;3.36;0.76;9.9;6
7.0;0.45;0.48;2.0;0.133;20.8;84.9;0.99;3.41;0.44;11.5;6
9.6;0.58;0.29;1.8;0.094;11.9;44.1;0.99;3.28;0.53;12.4;5
10.3;0.57;0.22;3.0;0.048;12.4;49.5;0.99;3.37;0.75;11.5;5
9.1;0.68;0.28;4.2;0.069;8.3;20.1;0.99;3.56;0.56;11.3;5
5.8;0.53;0.17;13.5;0.166;23.9;54.1;0.99;3.46;0.67;11.7;5
7.3;0.53;0.27;1.4;0.084;6.2;16.5;0.99;3.66;0.62;11.3;7
12.9;0.62;0.49;1.1;0.078;24.8;78.1;0.99;3.21;0.72;11.4;5
7.5;0.39;0.23;4.0;0.043;18.0;66.5;0.99;3.56;0.84;11.6;7
13.4;0.55;0.27;5.5;0.012;15.4;86.8;0.99;3.19;0.77;11.4;6
11.2;0.43;0.23;5.7;0.079;9.0;38.5;0.99;3.36;0.8;12.1;6
9.2;0.72;0.18;3.8;0.102;1.7;33.3;0.99;3.42;0.86;10.7;6
8.8;0.21;0.32;8.7;0.139;9.1;37.5;0.99;3.23;0.58;12.4;6
7.5;0.55;0.28;2.8;0.012;12.4;37.1;0.99;3.32;0.62;11.1;6
8.1;0.37;0.34;7.1;0.034;1.0;7.0;0.99;3.45;0.74;11.2;5
7.1;0.46;0.36;9.6;0.06;13.8;66.1;0.99;3.2;0.81;10.3;6
8.2;0.54;0.34;5.7;0.087;25.5;107.5;0.99;3.56;0.58;11.6;5
6.0;0.77;0.13;1.9;0.08;21.8;70.5;0.99;3.1;0.53;11.8;4
5.9;0.41;0.34;1.5;0.081;10.7;40.0;0.99;3.6;0.63;11.0;6
10.5;0.68;0.32;3.0;0.106;16.4;43.1;0.99;3.46;0.49;10.1;5
5.6;0.29;0.21;2.5;0.045;10.1;43.6;0.99;3.3;0.62;12.0;7
9.8;0.54;0.28;6.3;0.131;17.4;76.4;0.99;3.25;0.63;13.0;7
5.1;0.36;0.16;1.3;0.107;32.0;112.4;0.99;3.23;0.72;10.6;7
9.4;0.56;0.32;1.7;0.072;26.0;84.3;0.99;3.29;0.68;10.1;5
7.9;0.59;0.29;4.5;0.162;21.3;78.2;0.99;3.3;0.64;10.2;4
10.5;0.54;0.45;1.2;0.16;10.7;41.6;0.99;3.5;0.7;11.1;7
7.7;0.66;0.23;2.0;0.131;23.7;83.8;0.99;3.61;0.6;10.3;5
4.9;0.45;0.36;2.2;0.012;1.0;6.0;0.99;3.34;0.76;10.1;7
8.0;0.29;0.41;3.4;0.161;13.2;44.5;0.99;3.18;0.6;12.3;7
8.6;0.41;0.2;1.4;0.124;22.0;87.0;0.99;3.23;0.8;11.7;6
8.1;0.45;0.16;5.9;0.181;23.6;90.0;0.99;3.28;0.78;9.6;5
9.3;0.33;0.18;2.5;0.145;22.9;70.3;0.99;3.16;0.59;12.2;5
7.3;0.61;0.25;7.2;0.161;19.0;56.4;0.99;3.13;0.66;12.7;6
6.2;0.52;0.16;2.6;0.128;13.8;45.8;0.99;3.62;0.77;10.4;5
6.6;0.52;0.18;1.8;0.15;21.5;82.6;0.99;3.36;0.64;11.9;5
7.4;0.63;0.37;1.4;0.181;5.9;22.1;0.99;3.19;0.76;10.9;6
7.4;0.36;0.3;1.0;0.097;7.0;18.1;0.99;3.43;0.74;11.9;7
12.4;0.4;0.31;2.9;0.013;16.5;60.4;0.99;3.13;0.86;10.7;6
10.4;0.46;0.22;1.3;0.073;17.7;58.6;0.99;3.15;0.75;13.2;6
9.5;0.44;0.19;2.2;0.105;1.0;12.3;0.99;3.19;0.7;10.8;5
9.1;0.51;0.31;3.2;0.091;20.6;75.4;0.99;3.56;0.76;11.5;6
8.8;0.3;0.35;1.8;0.028;24.0;80.8;0.99;3.27;0.74;11.6;8
8.8;0.5;0.33;1.5;0.012;15.1;55.2;0.99;2.94;0.6;12.5;5
8.6;0.42;0.41;4.7;0.052;40.7;155.6;0.99;3.49;0.78;12.9;6
